starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 21:35:02 2008	1218332102819458	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819494	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819528	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819562	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819597	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819630	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819695	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819663	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102830722	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830787	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830825	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830861	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830913	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830948	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830985	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102831020	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102831054	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102831089	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102842675	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102842736	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102842771	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842806	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842842	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842877	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842912	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842945	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102843015	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842980	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102851430	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851525	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851558	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851591	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851625	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851694	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851727	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851760	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851660	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851489	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102860190	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860246	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860283	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860319	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860352	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860387	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860421	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860455	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860487	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860518	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102869904	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102869962	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102869997	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102870032	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102870104	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102870140	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102870174	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102870242	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102870067	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102870210	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102882766	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102882825	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102882861	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102882894	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102882932	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102882966	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102883001	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102883038	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102883073	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102883107	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102892232	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892291	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892328	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892363	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892397	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892431	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892465	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892498	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892531	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102892562	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102900905	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102900999	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102901035	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102901101	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102901135	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102901169	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102901202	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102901237	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102901068	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102900963	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102909837	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102909893	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102909929	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102909997	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102910065	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102910100	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102910133	0	19	19	9
Sat Aug 09 21:35:02 2008	1218332102910031	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102910167	10	9	19	9
Sat Aug 09 21:35:02 2008	1218332102909963	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102920473	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920509	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920545	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920581	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920652	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920771	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920804	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920422	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920837	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102920616	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929624	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929681	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929717	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929752	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929788	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929824	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929860	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929928	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929962	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102929894	0	19	19	18
Sat Aug 09 21:35:02 2008	1218332102939641	0	18	18	17
