gc_iter	gc_defnew_start	gc_defnew_end	gc_defnew_all	gc_paus_time	gc_start_occ	gc_end_occ	gc_main_paus_time	
21.624	1659	101	1728	0.0006120	16644	15086	0.0006750
21.627	1635	154	1728	0.0007040	16620	15139	0.0007690
21.637	1659	52	1728	0.0005450	16644	15037	0.0006080
21.640	1579	106	1728	0.0005920	16565	15091	0.0006560
21.643	1602	107	1728	0.0006020	16587	15092	0.0006650
21.646	1624	108	1728	0.0008330	16609	15094	0.0009020
21.649	1591	55	1728	0.0005200	16576	15040	0.0005810
21.652	1556	167	1728	0.0007310	16541	15152	0.0007990
21.655	1631	113	1728	0.0005910	16616	15098	0.0006520
21.658	1594	171	1728	0.0007310	16580	15156	0.0007970
21.661	1671	115	1728	0.0006180	16656	15101	0.0007040
21.664	1633	175	1728	0.0007390	16618	15160	0.0008070
21.667	1711	118	1728	0.0006260	16696	15103	0.0006880
21.677	1551	119	1728	0.0006470	16537	15105	0.0007130
21.680	1568	121	1728	0.0006270	16553	15106	0.0006910
21.683	1584	122	1728	0.0006290	16569	15107	0.0006930
21.686	1601	123	1728	0.0006010	16586	15108	0.0006650
21.689	1617	125	1728	0.0015400	16602	15110	0.0016080
21.693	1634	126	1728	0.0006670	16619	15111	0.0007320
21.696	1650	127	1728	0.0006300	16635	15112	0.0006930
21.705	1602	64	1728	0.0005320	16587	15049	0.0005980
21.708	1553	129	1728	0.0008320	16538	15179	0.0009020
21.711	1567	131	1728	0.0007400	16617	15181	0.0008070
21.715	1647	66	1728	0.0005190	16697	15116	0.0005800
21.718	1596	133	1728	0.0008050	16646	15250	0.0008740
21.721	1610	134	1728	0.0007700	16727	15251	0.0008360
21.724	1624	135	1728	0.0008490	16741	15320	0.0009180
21.727	1638	137	1728	0.0006600	16822	15321	0.0007240
21.730	1652	138	1728	0.0008520	16836	15391	0.0009230
21.734	1666	139	1728	0.0006640	16919	15393	0.0007270
21.736	1539	140	1728	0.0006550	16793	15394	0.0007440
21.740	1551	141	1728	0.0006560	16804	15395	0.0007190
21.749	1562	142	1728	0.0006680	16816	15396	0.0007580
21.752	1574	143	1728	0.0006750	16828	15397	0.0007380
21.755	1586	144	1728	0.0006600	16839	15398	0.0007220
21.758	1597	145	1728	0.0006580	16851	15399	0.0007230
21.761	1609	146	1728	0.0007710	16862	15400	0.0008380
21.764	1620	147	1728	0.0006800	16874	15401	0.0007430
21.767	1632	148	1728	0.0006820	16886	15402	0.0007470
21.777	1644	149	1728	0.0006710	16897	15403	0.0007390
21.780	1655	150	1728	0.0006830	16909	15404	0.0007470
21.783	1667	152	1728	0.0006930	16920	15405	0.0007590
21.787	1678	153	1728	0.0006860	16932	15406	0.0007520
21.790	1613	77	1728	0.0005540	16867	15330	0.0006130
21.792	1546	154	1728	0.0009570	16800	15486	0.0010280
21.796	1556	156	1728	0.0006910	16887	15487	0.0007550
21.806	1644	78	1728	0.0005540	16975	15409	0.0006150
21.809	1576	157	1728	0.0011360	16907	15567	0.0012070
21.812	1585	158	1728	0.0006890	16996	15569	0.0007550
21.815	1675	80	1728	0.0005700	17085	15490	0.0006310
21.818	1606	160	1728	0.0009670	17016	15651	0.0010380
21.822	1615	161	1728	0.0006620	17105	15652	0.0007250
21.825	1624	162	1728	0.0076390	17115	15734	0.0077110
21.835	1634	163	1728	0.0007070	17206	15735	0.0007740
21.838	1643	164	1728	0.0010530	17215	15818	0.0011230
21.842	1653	165	1728	0.0007260	17307	15819	0.0008240
21.845	1662	166	1728	0.0010830	17317	15903	0.0011540
21.848	1672	167	1728	0.0007230	17409	15905	0.0007890
21.851	1681	168	1728	0.0009820	17419	15990	0.0010530
21.855	1691	169	1728	0.0007170	17513	15991	0.0007850
21.858	1700	170	1728	0.0009950	17522	16077	0.0010640
21.861	1624	85	1728	0.0006810	17531	15992	0.0007410
21.864	1547	172	1728	0.0007820	17454	16079	0.0008510
21.867	1555	173	1728	0.0007500	17462	16079	0.0008160
21.877	1562	173	1728	0.0007440	17469	16080	0.0008110
21.880	1570	174	1728	0.0007370	17477	16081	0.0008400
21.883	1578	175	1728	0.0007550	17484	16082	0.0008220
21.887	1585	176	1728	0.0007290	17492	16083	0.0007960
21.890	1593	177	1728	0.0007590	17500	16084	0.0008250
21.893	1600	178	1728	0.0007740	17507	16084	0.0008420
21.896	1608	179	1728	0.0007490	17515	16085	0.0008150
21.906	1616	179	1728	0.0007440	17522	16086	0.0008120
21.909	1623	180	1728	0.0009510	17530	16087	0.0010220
21.913	1631	181	1728	0.0007900	17538	16088	0.0008590
21.916	1638	182	1728	0.0007610	17545	16089	0.0008280
21.919	1646	183	1728	0.0007590	17553	16090	0.0008250
21.922	1654	184	1728	0.0007790	17560	16090	0.0008460
21.932	1661	184	1728	0.0006730	17568	16091	0.0007400
21.935	1669	185	1728	0.0007780	17575	16092	0.0008450
21.939	1676	186	1728	0.0008680	17583	16093	0.0009380
21.942	1684	187	1728	0.0007800	17591	16094	0.0008480
21.945	1691	188	1728	0.0007810	17598	16095	0.0008480
21.948	1699	189	1728	0.0008180	17606	16095	0.0008870
21.952	1707	189	1728	0.0007440	17613	16096	0.0008130
21.962	1714	190	1728	0.0007690	17621	16097	0.0008390
21.965	1722	191	1728	0.0007600	17629	16098	0.0008280
21.968	1633	96	1728	0.0006410	17540	16003	0.0007030
21.971	1544	96	1728	0.0011500	17451	16196	0.0012220
21.975	1453	97	1728	0.0008460	17553	16293	0.0009160
21.978	1556	97	1728	0.0006050	17753	16294	0.0006670
21.981	1562	97	1728	0.0011470	17759	16489	0.0012190
21.985	1471	98	1728	0.0008760	17863	16588	0.0009460
21.988	1575	98	1728	0.0006080	18065	16589	0.0006680
21.998	1581	98	1728	0.0010520	18071	16787	0.0011230
22.001	1488	99	1728	0.0008920	18176	16886	0.0009620
22.004	1593	99	1728	0.0006200	18380	16887	0.0006830
22.007	1599	100	1728	0.0011500	18387	17087	0.0012190
22.011	1505	100	1728	0.0009520	18493	17188	0.0010220
22.014	1612	100	1728	0.0006300	18700	17188	0.0006920
22.017	1618	101	1728	0.0011950	18706	17391	0.0012670
22.020	1523	101	1728	0.0009930	18813	17493	0.0010630
22.024	1630	102	1728	0.0006390	19022	17493	0.0007010
22.033	1637	102	1728	0.0010960	19028	17698	0.0011660
22.037	1540	102	1728	0.0011390	19137	17802	0.0012110
22.040	1546	103	1728	0.0012040	19245	18008	0.0012730
22.044	1551	103	1728	0.0009800	19457	18112	0.0010500
22.047	1557	103	1728	0.0012700	19566	18320	0.0013410
22.051	1562	104	1728	0.0008870	19779	18425	0.0009570
22.061	1568	104	1728	0.0013110	19889	18634	0.0014050
22.065	1573	105	1728	0.0010630	20103	18740	0.0011340
22.068	1579	105	1728	0.0012310	20214	18950	0.0013020
22.072	1640	112	1728	0.0007060	20486	18958	0.0007680
22.075	1648	34	1728	0.0007800	20494	18985	0.0008420
22.078	1564	14	1728	0.0004700	20515	18965	0.0005300
22.081	1538	17	1728	0.0005010	20490	18968	0.0005610
22.083	1550	19	1728	0.0004790	20501	18970	0.0005380
22.086	1546	63	1728	0.0005580	20497	19014	0.0006180
22.089	1576	69	1728	0.0101920	20527	19020	0.0102630
22.101	1604	74	1728	0.0005750	20555	19025	0.0006360
22.104	1610	78	1728	0.0005590	20561	19030	0.0006160
22.107	1598	83	1728	0.0005870	20549	19034	0.0006510
22.110	1597	29	1728	0.0004810	20548	18980	0.0005410
22.113	1556	91	1728	0.0006250	20507	19042	0.0006890
22.124	1623	31	1728	0.0004960	20574	18983	0.0005560
22.126	1560	99	1728	0.0006160	20511	19050	0.0006790
22.129	1617	34	1728	0.0004850	20568	18985	0.0005440
22.132	1535	106	1728	0.0006290	20486	19057	0.0006910
22.135	1619	73	1728	0.0005650	20570	19024	0.0006260
22.138	1557	75	1728	0.0005390	20508	19026	0.0005960
22.141	1601	77	1728	0.0005920	20552	19028	0.0006530
22.144	1606	39	1728	0.0004910	20557	18990	0.0005490
22.154	1527	81	1728	0.0006610	20478	19032	0.0007260
22.156	1563	83	1728	0.0005830	20514	19034	0.0006740
22.159	1599	85	1728	0.0005790	20550	19036	0.0006400
